Currency Code,,Country Code,Country Name,,
AUD,AUD,AUS,Australia,,
BGN,,BGR,Bulgaria,,
BRL,BRL,BRA,Brazil,,
CAD,CAD,CAN,Canada,,
CHF,CHF,CHE,Switzerland,,
CNY,CNY,CHN,China,,
CYP,L-CYP,L-CYP,Cyprus,,
CZK,CZK,CZE,Czech Republic,,
DKK,DKK,DNK,Denmark,,
EEK,,EST,Estonia,,
GBP,GBP,GBR,United Kingdom,,
GRD,L-GRD,GRC,Greece,,
HKD,HKD,HKG,"Hong Kong, China",,
HRK,HRK,HRV,Croatia,,
HUF,HUF,HUN,Hungary,,
IDR,IDR,IDN,Indonesia,,
ILS,ILS,ISR,Israel,,
INR,INR,IND,India,,L-BEF
ISK,ISK,ISL,Iceland,,
JPY,JPY,JPN,Japan,,L-DEM
KRW,KRW,KOR,"Korea, Rep.",,L-ECS
LTL,L-LTL,LTU,Lithuania,,L-ESP
LVL,L-LVL,LVA,Latvia,,L-FIM
MTL,L-MTL,MLT,Malta,,L-FRF
MXN,MXN,MEX,Mexico,,
MYR,MYR,MYS,Malaysia,,L-IEP
NOK,NOK,NOR,Norway,,L-ITL
NZD,NZD,NZL,New Zealand,,
PHP,PHP,PHL,Philippines,,L-LUF
PLN,PLN,POL,Poland,,
ROL,,L-ROU,Romania (Legacy),,
RON,RON,ROU,Romania,,L-NLG
RUB,RUB,RUS,Russian Federation,,L-PTE
SEK,SEK,SWE,Sweden,,
SGD,SGD,SGP,Singapore,,
SIT,L-SIT,SVN,Slovenia,,L-SML
SKK,L-SKK,SVK,Slovak Republic,,L-SVC
THB,THB,THA,Thailand,,
TRL,,L-TUR,Turkey (Legacy),,
TRY,TRY,TUR,Turkey,,
USD,USD,USA,United States,,
ZAR,ZAR,ZAF,South Afrika,,
